Day fraction since midnight on,photometer (mg/L),(volts)
0.6334095588,4.982731342,1.739727497
0.6334211518,4.94950819,1.750766277
0.6334327369,4.994544029,1.735812187
0.6334442838,4.984115601,1.739268422
0.6334558573,4.949880123,1.750642538
0.6334674509,4.894616127,1.769092441
0.633479015,4.909410954,1.764142394
0.6334905802,4.894454479,1.769146681
0.6335021646,4.908508778,1.764443994
0.6335137245,4.932562828,1.756412029
0.6335253206,4.919341564,1.760824204
0.6335368728,4.913208485,1.762873054
0.6335484522,4.948563099,1.751080871
0.6335600319,4.929749966,1.757350087
0.6335716129,4.897251129,1.768210292
0.6335831844,4.932300091,1.756499648
0.633594753,4.962295055,1.746513009
0.6336063249,4.91542387,1.762132764
0.6336179068,4.938083649,1.754571438
0.6336294824,4.912345886,1.763161302
0.6336410582,4.917694092,1.761374354
0.6336526224,4.883494854,1.772818685
0.633664196,4.919444084,1.760789871
0.6336757805,4.916924954,1.76163137
0.6336873499,4.955425739,1.748797178
0.6336989096,4.917127132,1.761563778
0.6337104873,4.879860878,1.774037361
0.6337220549,4.904039383,1.76593864
0.6337336421,4.858356953,1.781258106
0.6337452134,4.928941727,1.757619739
0.6337567808,4.874913216,1.775697231
0.633768361,4.867919445,1.778045058
0.6337799359,4.865767956,1.778767705
0.6337915129,4.840890884,1.787135363
0.6338030723,4.831956387,1.790146232
0.6338146619,4.838986397,1.787776947
0.633826241,4.847958088,1.784755945
0.6338378012,4.82593298,1.792177558
0.6338493717,4.814660549,1.795982838
0.633860954,4.823795319,1.792898774
0.6338725389,4.854805946,1.782452107
0.6338841024,4.782850266,1.806746364
0.6338956917,4.799753666,1.801022291
0.6339072521,4.786848545,1.805391431
0.6339188122,4.822918892,1.793194652
